pheno,sex,fam,id,position,S005326_13993,S004295_103178,S000691_27584,S006407_145458,S005269_20591,S001059_35127,S006896_161765,S003785_97926,S006807_218645,S006807_12726,S001756_245062,S009810_108106,S002190_273267,S003842_44270,S001065_139337,S003702_428645,S000039_104537,S000951_177767,S000809_467688,S005960_25480,S011424_11798,S000417_200151,S002808_914765,S000562_433958,S001650_82475,S003200_185618,S000683_159212,S000430_516004,S000472_184827,S002143_89659,S001404_149396,S000820_51652,S000272_91859,S002944_388087,S004683_48343,S002445_388277,S002565_116956,S001239_386983,S003497_180469,S001371_680831,S006506_7146,S000353_224758,S000933_1324863,S000933_679595,S001839_297109,S001044_55790,S005519_323363,S000305_122692,S004564_228188,S001042_226508,S001129_3950,S001129_278534,S001129_1281044,S000180_656202,S000091_405155,S000091_418819,S000478_63050,S004669_111539,S005334_732499,S003838_3055872,S003838_1390194,S003838_101395,S003802_75418,S001166_231556,S001719_497344,S000166_133294,S001441_362009,S005338_322928,S001871_153614,S002703_498629,S003304_1517727,S003304_126558,S014061_123620,S000089_52506,S001870_91052
,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,0,0.454,0.505,1.106,1.249,2.167,2.48,2.613,3.579,5.089,8.055,10.132,10.287,11.664,12.047,12.202,12.824,12.976,13.129,13.595,13.783,14.45,15.574,20.217,20.971,21.375,21.536,21.838,22.146,22.758,23.71,23.872,24.177,24.328,24.782,25.077,25.126,25.542,25.709,26.17,26.315,26.342,26.8,27.193,27.993,28.003,29.765,30.582,33.114,33.187,35.042,35.199,35.755,36.195,36.365,36.606,36.888,37.006,38.437,40.877,42.113,42.743,42.994,43.317,44.687,48.064,48.264,59.592,59.983,61.633,61.991,62.585,63.524,63.819,64.156
3.21,m,0,cB1615,qtl4plate9_G10,H,H,H,H,H,H,H,-,B,B,H,-,A,-,A,A,A,A,H,-,-,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,-,A,-,-,A,A,-,H,A,A,A,A,-,A,A,A,B,A,-,A,A,-,A,A,A,A,A,A,A,A,A,-,A,-,-,-,A
3.77,m,1,eB2098,qtl4plate10_B08,A,B,A,-,B,B,B,-,B,A,B,B,B,-,B,B,B,B,B,B,-,B,B,B,B,-,B,B,B,B,H,B,B,B,B,-,H,B,-,-,-,-,B,B,-,B,B,B,B,-,B,B,B,B,B,B,-,B,-,B,B,B,B,B,B,B,B,H,-,-,H,-,H,H,H
3.48,m,1,eB2140,qtl4plate10_B03,H,B,H,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,-,-,B,B,A,H,-,B,B,B,B,H,B,-,B,B,B,H,H,-,H,-,-,H,H,-,H,H,H,H,-,-,B,B,B,H,B,-,B,-,B,B,B,B,B,B,B,-,H,-,-,H,H,-,H,H
3.36,m,1,eB2168,qtl4plate10_A09,H,B,B,H,B,B,H,-,B,H,B,-,B,-,B,B,B,B,B,-,-,B,B,H,H,-,B,B,B,B,B,B,B,B,B,-,B,H,-,H,-,-,H,H,-,H,H,H,H,-,B,B,B,B,H,B,B,B,-,B,B,B,B,B,B,B,B,B,-,-,B,-,-,B,B
3.15,m,0,cB1127,qtl4plate10_F01,H,H,H,H,H,H,H,-,A,B,A,A,A,H,A,A,A,A,A,A,-,A,A,-,A,-,A,A,H,A,A,A,A,H,A,A,A,A,-,-,A,-,A,A,-,A,A,A,H,-,H,H,H,B,B,H,-,H,H,H,H,H,H,-,H,H,H,B,-,-,B,-,-,-,B
3.06,m,1,eB2149,qtl4plate9_H04,H,-,H,B,B,B,B,-,B,H,B,B,B,B,-,B,B,B,B,B,-,B,B,A,A,-,B,B,B,B,B,B,-,B,B,-,B,A,-,A,-,A,A,A,-,A,A,A,A,A,-,B,B,B,-,B,-,B,-,B,B,B,B,B,H,B,B,B,-,B,B,B,-,B,B
3.17,m,1,eB2156,qtl4plate9_H08,A,B,H,A,B,B,H,-,B,A,B,B,B,-,B,B,B,B,B,B,-,B,B,H,A,-,B,B,B,B,B,B,-,B,B,-,B,A,A,-,-,A,A,A,-,A,A,A,A,-,B,-,B,B,A,B,B,B,-,B,B,B,B,B,B,B,B,B,-,-,B,-,-,B,B
3.50,m,1,eB2165,qtl4plate10_B04,B,-,B,B,B,B,B,-,B,B,B,H,B,-,B,B,B,B,B,B,-,B,B,H,H,-,B,B,B,B,H,B,-,B,B,B,H,H,-,H,-,-,H,H,-,H,H,H,H,-,B,B,B,B,H,B,-,B,-,B,B,B,B,B,B,B,B,H,-,-,H,H,-,H,H
